city_name,total_time_all_w,similarity_time_all_w
Alameda_CA,0.1095,0.0187
Albany_GA,0.4182,0.0528
Alpharetta_GA,0.3738,0.0428
Anchorage_AK,0.6870,0.0944
Athens_GA,0.3359,0.0406
Atlanta_GA,0.7433,0.0999
Augusta_GA,0.3854,0.0465
Austin_TX,2.3022,0.2699
Baltimore_MD,3.5578,0.4116
Berkeley_CA,0.9182,0.1056
Boston_MA,0.8699,0.0871
Boulder_CO,0.9660,0.1202
Brunswick_GA,0.5718,0.0779
Charleston_SC,0.8517,0.0876
Charlotte_NC,2.4812,0.2794
Chicago_IL,2.2615,0.2605
Cleveland_OH,2.8277,0.3361
Columbus_GA,0.4490,0.0638
Columbus_OH,0.9841,0.1149
Cumberland_GA,0.0831,0.0109
Cumming_GA,0.1142,0.0178
Dallas_TX,1.3621,0.1575
Davis_CA,0.1447,0.0219
Daytona_Beach_FL,0.3301,0.0433
Decatur_GA,0.3374,0.0420
Denver_CO,1.0534,0.1290
Detroit_MI,1.3165,0.1516
Dublin_CA,0.2038,0.0296
Duluth_GA,0.1488,0.0230
Durham_NC,1.3234,0.1518
Edinburg_TX,0.1808,0.0256
ElPaso_TX,1.0377,0.1227
Erie_PA,0.5190,0.0679
Fairbanks_AK,0.5864,0.0803
Fairfax_VA,0.6458,0.0885
FallsChurch_VA,0.5206,0.0709
Franklin_TN,0.6126,0.0798
Fresno_CA,0.5031,0.0677
Gainsville_FL,0.4822,0.0729
Gardena_CA,0.1258,0.0195
Golden_CO,0.4205,0.0529
Greensboro_NC,1.6288,0.1647
Griffin_GA,0.0740,0.0109
Helen_GA,0.0598,0.0105
Hoboken_NJ,0.7527,0.0817
Honolulu_HI,0.3436,0.0442
Houston_TX,1.8611,0.1798
Indianapolis_IN,1.0130,0.1185
Indio_CA,0.2347,0.0334
Irvine_CA,1.0505,0.1284
Irving_TX,0.2520,0.0362
Jacksonville_FL,1.3160,0.1528
JohnsCreek_GA,0.1454,0.0217
KansasCity_MO,2.0698,0.2472
Kennesaw_GA,0.1114,0.0184
Las-Vegas_NV,0.5602,0.0752
Lincoln_NE,0.6789,0.0922
Los-Angeles_CA,1.0236,0.1283
Los_Alamos_NM,0.5466,0.0730
Louisville_KY,0.7945,0.0887
Macon_GA,0.2748,0.0390
Madison_GA,0.1715,0.0232
Malibu_CA,1.2054,0.1438
Marietta_GA,0.1859,0.0264
Memphis_TN,1.0496,0.1302
Miami_FL,0.8758,0.1005
Milwaukee_WI,0.0002,0.0000
Mulberry_FL,0.2007,0.0311
Nashville_TN,1.0460,0.1251
New-Orleans_LA,1.6313,0.1732
New-York-City_NY,1.4501,0.1657
NewBrunswick_NJ,0.5882,0.0756
Orlando_FL,1.1103,0.1355
Philadelphia_PA,1.3718,0.1559
Phoenix_AZ,2.4900,0.2846
Pittsburg_PA,0.0007,0.0002
Pleasanton_CA,0.1986,0.0283
Portland_OR,2.3820,0.2806
Reno_NV,1.1452,0.1378
Richland_WA,0.5006,0.0712
Richmond_VA,1.5617,0.1687
Rome_GA,0.3501,0.0420
Rosemead_CA,0.4555,0.0638
Roswell_GA,0.2117,0.0274
Salt_Lake_City_UT,1.4605,0.1648
San-Francisco_CA,1.4532,0.1649
SanAntonio_TX,0.8144,0.0875
SanBernardino_CA,0.4505,0.0665
SanDiego_CA,0.9017,0.0976
SanJose_CA,2.7677,0.3319
SandySprings_GA,0.4310,0.0507
SantaBarbara_CA,0.6282,0.0860
Savannah_GA,0.6411,0.0879
Scottsdale_AZ,0.6222,0.0857
Seattle_WA,1.1065,0.1355
Sedona_AZ,0.3648,0.0430
SilverSpring_MD,1.0695,0.1285
StAugustine_FL,0.3850,0.0426
Suwanee_GA,0.1780,0.0229
Tacoma_WA,0.7314,0.0959
Tallahassee_FL,0.4573,0.0634
Tampa_FL,1.0306,0.1288
Upton_NY,0.0103,0.0023
Urbana_IL,0.5451,0.0768
Valdosta_GA,0.2676,0.0372
VirginiaBeach_VA,1.6349,0.1726
Wilmington_NC,1.4048,0.1574
WinterGraden_FL,0.1255,0.0204
