city_name,w,lambda,mean_total_time,std_total_time,mean_similarity_time,std_similarity_time
WinterGraden_FL,25,8.0,0.0131,0.0002,0.0001,0.0
WinterGraden_FL,25,16.0,0.0134,0.0,0.0001,0.0
WinterGraden_FL,25,32.0,0.0135,0.0,0.0002,0.0
WinterGraden_FL,25,64.0,0.0135,0.0,0.0003,0.0
WinterGraden_FL,25,inf,0.0094,0.0001,0.0094,0.0001
WinterGraden_FL,50,8.0,0.0132,0.0,0.0001,0.0
WinterGraden_FL,50,16.0,0.0131,0.0,0.0001,0.0
WinterGraden_FL,50,32.0,0.0132,0.0,0.0002,0.0
WinterGraden_FL,50,64.0,0.0136,0.0,0.0003,0.0
WinterGraden_FL,50,inf,0.0091,0.0,0.0091,0.0
NewBrunswick_NJ,25,8.0,0.0648,0.0014,0.0001,0.0
NewBrunswick_NJ,25,16.0,0.0642,0.0002,0.0001,0.0
NewBrunswick_NJ,25,32.0,0.0642,0.0003,0.0002,0.0
NewBrunswick_NJ,25,64.0,0.0646,0.0003,0.0004,0.0
NewBrunswick_NJ,25,inf,0.0381,0.0001,0.0381,0.0001
NewBrunswick_NJ,50,8.0,0.066,0.0002,0.0001,0.0
NewBrunswick_NJ,50,16.0,0.0636,0.0009,0.0001,0.0
NewBrunswick_NJ,50,32.0,0.065,0.0001,0.0002,0.0
NewBrunswick_NJ,50,64.0,0.0639,0.0,0.0003,0.0
NewBrunswick_NJ,50,inf,0.0352,0.0,0.0352,0.0
KansasCity_MO,25,8.0,0.2242,0.0003,0.0001,0.0
KansasCity_MO,25,16.0,0.2218,0.0013,0.0001,0.0
KansasCity_MO,25,32.0,0.2257,0.0034,0.0002,0.0
KansasCity_MO,25,64.0,0.2213,0.0007,0.0004,0.0
KansasCity_MO,25,inf,0.1224,0.0001,0.1223,0.0001
KansasCity_MO,50,8.0,0.2241,0.0005,0.0001,0.0
KansasCity_MO,50,16.0,0.2287,0.0011,0.0001,0.0
KansasCity_MO,50,32.0,0.2243,0.0044,0.0002,0.0
KansasCity_MO,50,64.0,0.2275,0.0039,0.0003,0.0
KansasCity_MO,50,inf,0.122,0.0004,0.1219,0.0004
Edinburg_TX,25,8.0,0.0197,0.0,0.0001,0.0
Edinburg_TX,25,16.0,0.0193,0.0002,0.0001,0.0
Edinburg_TX,25,32.0,0.0205,0.0,0.0002,0.0
Edinburg_TX,25,64.0,0.02,0.0,0.0003,0.0
Edinburg_TX,25,inf,0.0119,0.0,0.0119,0.0
Edinburg_TX,50,8.0,0.0194,0.0001,0.0001,0.0
Edinburg_TX,50,16.0,0.0196,0.0001,0.0001,0.0
Edinburg_TX,50,32.0,0.0189,0.0001,0.0002,0.0
Edinburg_TX,50,64.0,0.0201,0.0001,0.0003,0.0
Edinburg_TX,50,inf,0.0117,0.0001,0.0117,0.0001
ElPaso_TX,25,8.0,0.1154,0.0005,0.0001,0.0
ElPaso_TX,25,16.0,0.11,0.0003,0.0001,0.0
ElPaso_TX,25,32.0,0.1097,0.0005,0.0002,0.0
ElPaso_TX,25,64.0,0.1117,0.0003,0.0003,0.0
ElPaso_TX,25,inf,0.0617,0.0,0.0617,0.0
ElPaso_TX,50,8.0,0.1159,0.0004,0.0001,0.0
ElPaso_TX,50,16.0,0.1101,0.0003,0.0001,0.0
ElPaso_TX,50,32.0,0.1121,0.0002,0.0002,0.0
ElPaso_TX,50,64.0,0.1102,0.0003,0.0003,0.0
ElPaso_TX,50,inf,0.0581,0.0001,0.0581,0.0001
Indio_CA,25,8.0,0.0249,0.0001,0.0001,0.0
Indio_CA,25,16.0,0.0248,0.0002,0.0001,0.0
Indio_CA,25,32.0,0.0261,0.0002,0.0002,0.0
Indio_CA,25,64.0,0.0254,0.0001,0.0003,0.0
Indio_CA,25,inf,0.016,0.0001,0.0159,0.0001
Indio_CA,50,8.0,0.0246,0.0003,0.0001,0.0
Indio_CA,50,16.0,0.0247,0.0003,0.0001,0.0
Indio_CA,50,32.0,0.0249,0.0,0.0002,0.0
Indio_CA,50,64.0,0.0251,0.0001,0.0003,0.0
Indio_CA,50,inf,0.0155,0.0001,0.0155,0.0001
Tacoma_WA,25,8.0,0.0798,0.0001,0.0001,0.0
Tacoma_WA,25,16.0,0.0787,0.0001,0.0001,0.0
Tacoma_WA,25,32.0,0.082,0.0001,0.0002,0.0
Tacoma_WA,25,64.0,0.0792,0.0003,0.0004,0.0
Tacoma_WA,25,inf,0.0475,0.0003,0.0474,0.0003
Tacoma_WA,50,8.0,0.0794,0.0001,0.0001,0.0
Tacoma_WA,50,16.0,0.0816,0.0004,0.0001,0.0
Tacoma_WA,50,32.0,0.0817,0.0004,0.0002,0.0
Tacoma_WA,50,64.0,0.0804,0.0003,0.0004,0.0
Tacoma_WA,50,inf,0.0471,0.0003,0.0471,0.0003
Milwaukee_WI,25,8.0,0.0,0.0,0.0,0.0
Milwaukee_WI,25,16.0,0.0,0.0,0.0,0.0
Milwaukee_WI,25,32.0,0.0,0.0,0.0,0.0
Milwaukee_WI,25,64.0,0.0,0.0,0.0,0.0
Milwaukee_WI,25,inf,0.0,0.0,0.0,0.0
Milwaukee_WI,50,8.0,0.0,0.0,0.0,0.0
Milwaukee_WI,50,16.0,0.0,0.0,0.0,0.0
Milwaukee_WI,50,32.0,0.0,0.0,0.0,0.0
Milwaukee_WI,50,64.0,0.0,0.0,0.0,0.0
Milwaukee_WI,50,inf,0.0,0.0,0.0,0.0
Columbus_GA,25,8.0,0.05,0.0004,0.0001,0.0
Columbus_GA,25,16.0,0.0481,0.0004,0.0001,0.0
Columbus_GA,25,32.0,0.0474,0.0003,0.0002,0.0
Columbus_GA,25,64.0,0.0497,0.0002,0.0004,0.0
Columbus_GA,25,inf,0.031,0.0001,0.0309,0.0001
Columbus_GA,50,8.0,0.0486,0.0006,0.0001,0.0
Columbus_GA,50,16.0,0.0482,0.0002,0.0001,0.0
Columbus_GA,50,32.0,0.0493,0.0003,0.0002,0.0
Columbus_GA,50,64.0,0.0488,0.0004,0.0004,0.0
Columbus_GA,50,inf,0.0305,0.0002,0.0305,0.0002
Greensboro_NC,25,8.0,0.1802,0.0005,0.0001,0.0
Greensboro_NC,25,16.0,0.1779,0.0012,0.0001,0.0
Greensboro_NC,25,32.0,0.1807,0.0008,0.0002,0.0
Greensboro_NC,25,64.0,0.1805,0.0003,0.0004,0.0
Greensboro_NC,25,inf,0.0813,0.0006,0.0812,0.0006
Greensboro_NC,50,8.0,0.1862,0.0004,0.0001,0.0
Greensboro_NC,50,16.0,0.1786,0.0034,0.0001,0.0
Greensboro_NC,50,32.0,0.1781,0.0003,0.0002,0.0
Greensboro_NC,50,64.0,0.1848,0.001,0.0003,0.0
Greensboro_NC,50,inf,0.0819,0.0005,0.0819,0.0005
Macon_GA,25,8.0,0.0294,0.0002,0.0001,0.0
Macon_GA,25,16.0,0.0291,0.0001,0.0001,0.0
Macon_GA,25,32.0,0.0285,0.0001,0.0002,0.0
Macon_GA,25,64.0,0.0294,0.0001,0.0004,0.0
Macon_GA,25,inf,0.0186,0.0001,0.0185,0.0001
Macon_GA,50,8.0,0.0285,0.0003,0.0001,0.0
Macon_GA,50,16.0,0.0284,0.0003,0.0001,0.0
Macon_GA,50,32.0,0.0287,0.0,0.0002,0.0
Macon_GA,50,64.0,0.0289,0.0,0.0003,0.0
Macon_GA,50,inf,0.0181,0.0,0.0181,0.0
SantaBarbara_CA,25,8.0,0.0688,0.0019,0.0001,0.0
SantaBarbara_CA,25,16.0,0.0696,0.0001,0.0001,0.0
SantaBarbara_CA,25,32.0,0.0689,0.0005,0.0002,0.0
SantaBarbara_CA,25,64.0,0.0672,0.0001,0.0004,0.0
SantaBarbara_CA,25,inf,0.0432,0.0001,0.0432,0.0001
SantaBarbara_CA,50,8.0,0.0699,0.0001,0.0001,0.0
SantaBarbara_CA,50,16.0,0.0691,0.0,0.0001,0.0
SantaBarbara_CA,50,32.0,0.0668,0.0001,0.0002,0.0
SantaBarbara_CA,50,64.0,0.0669,0.0001,0.0004,0.0
